language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
fa-IR,1,layer_1,ARG0,0.62,0.0,1263,50,396,19
fa-IR,1,layer_1,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,1,layer_1,ARG2,0.7,0.8148148148148148,1263,50,798,33
fa-IR,1,layer_1,neg,0.94,0.0,1263,50,50,3
fa-IR,1,layer_1,time,0.94,0.0,1263,50,165,3
fa-IR,2,layer_2,ARG0,0.62,0.0,1263,50,396,19
fa-IR,2,layer_2,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,2,layer_2,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,2,layer_2,neg,0.94,0.0,1263,50,50,3
fa-IR,2,layer_2,time,0.94,0.0,1263,50,165,3
fa-IR,3,layer_3,ARG0,0.62,0.0,1263,50,396,19
fa-IR,3,layer_3,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,3,layer_3,ARG2,0.68,0.8048780487804879,1263,50,798,33
fa-IR,3,layer_3,neg,0.94,0.0,1263,50,50,3
fa-IR,3,layer_3,time,0.94,0.0,1263,50,165,3
fa-IR,4,layer_4,ARG0,0.62,0.0,1263,50,396,19
fa-IR,4,layer_4,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,4,layer_4,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,4,layer_4,neg,0.94,0.0,1263,50,50,3
fa-IR,4,layer_4,time,0.94,0.0,1263,50,165,3
fa-IR,5,layer_5,ARG0,0.62,0.0,1263,50,396,19
fa-IR,5,layer_5,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,5,layer_5,ARG2,0.64,0.7804878048780488,1263,50,798,33
fa-IR,5,layer_5,neg,0.94,0.0,1263,50,50,3
fa-IR,5,layer_5,time,0.94,0.0,1263,50,165,3
fa-IR,6,layer_6,ARG0,0.62,0.0,1263,50,396,19
fa-IR,6,layer_6,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,6,layer_6,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,6,layer_6,neg,0.94,0.0,1263,50,50,3
fa-IR,6,layer_6,time,0.94,0.0,1263,50,165,3
fa-IR,7,layer_7,ARG0,0.62,0.0,1263,50,396,19
fa-IR,7,layer_7,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,7,layer_7,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,7,layer_7,neg,0.94,0.0,1263,50,50,3
fa-IR,7,layer_7,time,0.94,0.0,1263,50,165,3
fa-IR,8,layer_8,ARG0,0.62,0.0,1263,50,396,19
fa-IR,8,layer_8,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,8,layer_8,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,8,layer_8,neg,0.94,0.0,1263,50,50,3
fa-IR,8,layer_8,time,0.94,0.0,1263,50,165,3
fa-IR,9,layer_9,ARG0,0.62,0.0,1263,50,396,19
fa-IR,9,layer_9,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,9,layer_9,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,9,layer_9,neg,0.94,0.0,1263,50,50,3
fa-IR,9,layer_9,time,0.94,0.0,1263,50,165,3
fa-IR,10,layer_10,ARG0,0.62,0.0,1263,50,396,19
